run_id,turn,community_id,CCC,I_count,E_count
16,5,3,0.0,10.0,0.0
16,6,0,0.0,4.0,0.0
16,6,1,0.0,10.0,0.0
16,6,2,0.0,4.0,0.0
16,6,3,0.0,10.0,0.0
16,7,0,0.0,4.0,0.0
16,7,1,0.0,10.0,0.0
16,7,2,0.0,4.0,0.0
16,7,3,0.0,10.0,0.0
16,8,0,1.0,0.0,4.0
16,8,1,0.0,10.0,0.0
16,8,2,0.0,4.0,0.0
16,8,3,0.2857142857142857,10.0,4.0
17,1,0,0.0,14.0,0.0
17,1,1,0.0,4.0,0.0
17,1,2,0.0,10.0,0.0
17,2,0,0.0,14.0,0.0
17,2,1,0.0,4.0,0.0
17,2,2,0.0,10.0,0.0
17,3,0,0.0,14.0,0.0
17,3,1,0.6,4.0,6.0
17,3,2,0.6,4.0,6.0
17,4,0,0.0,14.0,0.0
17,4,1,0.3333333333333333,4.0,2.0
17,4,2,0.2,8.0,2.0
17,5,0,0.0,14.0,0.0
17,5,1,0.6666666666666666,2.0,4.0
17,5,2,0.3333333333333333,8.0,4.0
17,6,0,0.0,14.0,0.0
17,6,1,0.0,4.0,0.0
17,6,2,0.0,10.0,0.0
17,7,0,0.0,14.0,0.0
17,7,1,1.0,0.0,4.0
17,7,2,0.2857142857142857,10.0,4.0
17,8,0,0.0,14.0,0.0
17,8,1,0.3333333333333333,4.0,2.0
17,8,2,0.2,8.0,2.0
18,1,0,0.0,8.0,0.0
18,1,1,0.0,6.0,0.0
18,1,2,0.0,4.0,0.0
18,1,3,0.0,10.0,0.0
18,2,0,0.0,8.0,0.0
18,2,1,0.0,6.0,0.0
18,2,2,0.3333333333333333,4.0,2.0
18,2,3,0.2,8.0,2.0
18,3,0,0.0,8.0,0.0
18,3,1,0.0,6.0,0.0
18,3,2,0.0,4.0,0.0
18,3,3,0.0,10.0,0.0
18,4,0,0.25,6.0,2.0
18,4,1,0.25,6.0,2.0
18,4,2,0.0,4.0,0.0
18,4,3,0.0,10.0,0.0
18,5,0,0.2,8.0,2.0
18,5,1,0.3333333333333333,4.0,2.0
18,5,2,0.0,4.0,0.0
18,5,3,0.0,10.0,0.0
18,6,0,0.6,4.0,6.0
18,6,1,0.6,4.0,6.0
18,6,2,0.0,4.0,0.0
