run_id,pattern_id,Ave P,CC-Ave P,CCH-P,CCTF-P,Ave CT,CC-Ave CT,CCH-CT,CCTF-CT,Ave RD,CC-Ave RD,CCH-RD,CCTF-RD,Ave CGT,CC-Ave CGT,CCH-CGT,CCTF-CGT,Ave CCU,CC-Ave CCU,CCH-CCU,CCTF-CCU,CCC Score
97,1,3.892645849,3.858913866,0.208183179,0.173330489,3.806401408,3.768977945,0.212333867,0.158494156,3.279931093,3.289340085,0.101121466,0.283284237,3.679717617,3.707080607,0.141064073,0.135956775,2.605438224,2.589513713,0.068778561,0.188978458,0.18125
88,4,3.653392718,3.601769764,0.285448132,0.233189135,3.736771103,3.73431384,0.126378946,0.107689556,3.249720109,3.292409273,0.33184027,0.359093724,3.950865966,3.972787421,0.077795484,0.04109693,2.366350255,2.332814025,0.112003067,0.128390239,0.120833333
99,3,3.810812156,3.769407687,0.24972899,0.132132085,3.73883368,3.725369502,0.124055781,0.122179669,3.371909787,3.294632817,0.343861711,0.29054659,3.577861576,3.715953616,0.374116859,0.110091081,2.674345627,2.641603733,0.105241628,0.184653324,0.078125
40,4,3.733550691,3.723465851,0.08408623,0.270038538,3.784623268,3.793547286,0.074296763,0.065695878,3.243870778,3.295965782,0.195502866,0.315453738,3.581518792,3.697420611,0.331996051,0.20813481,2.638509089,2.6113555,0.081610285,0.291447979,0.201934524
82,2,3.967580725,3.971469743,0.033274352,0.108858307,3.737815255,3.726829427,0.076917898,0.116523064,3.293315941,3.301249146,0.163524601,0.488648185,3.588835742,3.657304166,0.280387529,0.220157419,2.887162085,2.897939593,0.074346508,0.256491701,0.26875
65,1,3.923303234,3.898549543,0.121302274,0.122325463,3.739463095,3.694495714,0.206907342,0.085286375,3.259035253,3.308830916,0.215806607,0.27775289,3.582484239,3.711785316,0.375502609,0.115055863,2.711694009,2.707203829,0.136027605,0.222799848,0.172916667
95,3,3.965926739,3.954764899,0.119992577,0.056504711,3.773397584,3.771028268,0.123976368,0.083120769,3.35436237,3.316731649,0.08767977,0.24766222,3.793856957,3.785506568,0.02968646,0.174912807,2.480366972,2.476336341,0.050346393,0.278489891,0.210119048
91,3,3.713543026,3.573288785,0.282787457,0.370576556,3.64979227,3.634124259,0.172833282,0.162013442,3.31051762,3.318786095,0.368295838,0.245454273,3.63795666,3.78662649,0.311081147,0.147491736,2.663679579,2.623977437,0.090656619,0.080087684,0.091145833
21,1,3.970400751,3.948938815,0.09911496,0.095698946,3.864792001,3.861292983,0.027558257,0.119695908,3.333894698,3.322928847,0.054171343,0.375024445,3.624323967,3.652631474,0.30939293,0.171725095,2.887214464,2.876080395,0.138243187,0.189345424,0.279017857
10,2,3.581945117,3.519342163,0.36572685,0.348014974,3.735116548,3.756036938,0.106642582,0.144691176,3.289513124,3.327220167,0.07104713,0.203211472,3.609549007,3.716482042,0.299084926,0.155996448,2.647460406,2.586160292,0.176097152,0.170287608,0.0875
33,1,3.846008892,3.865766752,0.063792861,0.211936563,3.768875896,3.717567279,0.159457259,0.204731633,3.37906887,3.327778307,0.182664427,0.25221117,3.493863788,3.573962754,0.320777978,0.21198936,2.924973733,2.904018402,0.058293865,0.378065769,0.234126984
66,2,3.79025739,3.795037528,0.111376932,0.18760779,3.762397451,3.766597665,0.054287009,0.0585454,3.365668654,3.344891865,0.155518597,0.591998776,3.703012553,3.705186751,0.171233535,0.187417331,2.635374308,2.641361596,0.1799437,0.156836936,0.240252976
