run_id,pattern_id,agent_id,dept_id,is_proximal,has_informal,sum_interaction,psychological_safety,psych_leader,psych_colleague,psych_team,task_cohesion,output_score_ave,output_score_dept0,output_score_dept1,position,sum_active_interaction,sum_passive_interaction
83,3,5,0,0,1,0,5.014312809321717,5.07946446443072,5.210948996358198,4.360040074242914,5.557369422126026,3.8128997905,3.784878057,3.840921524,General Member,0,0
83,3,6,0,0,1,0,5.522219885116703,5.633666353606394,5.515837755811466,5.202772114693184,5.58920340549126,3.8128997905,3.784878057,3.840921524,Department Leader,0,0
83,3,7,1,0,1,1,5.419109060772023,5.553080173264778,5.452793680786265,4.938598276593855,5.7221130847306725,3.8128997905,3.784878057,3.840921524,General Member,0,1
83,3,8,1,0,1,0,5.117113059877674,5.039996355826475,5.431890684209908,4.6139820485893885,5.644618279719886,3.8128997905,3.784878057,3.840921524,General Member,0,0
83,3,9,1,0,1,0,5.088427621375264,5.298728351207232,4.8826369021488905,4.9377037767409035,5.156986472374207,3.8128997905,3.784878057,3.840921524,General Member,0,0
83,3,10,1,0,1,0,5.024017750218344,5.049272941013613,5.172255880429708,4.602363207339356,5.431963523854632,3.8128997905,3.784878057,3.840921524,General Member,0,0
83,3,11,1,0,1,0,5.146811028427324,5.415120125307068,5.3237959620884405,3.9289188925788188,5.48312680416619,3.8128997905,3.784878057,3.840921524,General Member,0,0
83,3,12,1,0,1,0,5.1864504050040345,5.128458745966258,5.395098207488168,4.8735805096543885,5.60933777990074,3.8128997905,3.784878057,3.840921524,General Member,0,0
83,3,13,1,0,1,0,5.339402696007232,5.361150375889517,5.467401990054945,4.975494636915708,5.78778689317805,3.8128997905,3.784878057,3.840921524,Department Leader,0,0
84,4,0,0,1,1,2,5.101734627831927,5.056828663280401,5.236121985100823,4.9228820211924145,5.618636440501632,3.8991800679999997,3.804229044,3.994131092,General Member,0,2
84,4,1,0,1,1,0,5.394233459800944,5.48028590156868,5.523181415114861,4.835197572098595,5.3765981111000976,3.8991800679999997,3.804229044,3.994131092,General Member,0,0
84,4,2,0,1,1,0,5.20844446796632,5.235647558758437,5.399269281799128,4.681577296646752,5.58630145412563,3.8991800679999997,3.804229044,3.994131092,General Member,0,0
84,4,3,0,1,1,0,5.042464022821047,4.985403018854342,5.388858073814629,4.40539424906947,4.769886956362782,3.8991800679999997,3.804229044,3.994131092,General Member,0,0
84,4,4,0,1,1,0,5.232156129885987,5.328332107088579,5.342489032389299,4.686184759103814,5.743609996626056,3.8991800679999997,3.804229044,3.994131092,General Member,0,0
84,4,5,0,1,1,0,5.260723197396736,5.485359567818568,5.352278909932163,4.373184090215244,5.353898039296087,3.8991800679999997,3.804229044,3.994131092,General Member,0,0
84,4,6,0,1,1,1,5.343380839186409,5.48066031482279,5.369390790340958,4.870852526249985,5.38528605505623,3.8991800679999997,3.804229044,3.994131092,Department Leader,1,0
84,4,7,1,1,1,2,5.346355864151727,5.402300613275262,5.436343743304681,4.9685498987575665,5.621293921913187,3.8991800679999997,3.804229044,3.994131092,General Member,2,0
84,4,8,1,1,1,0,5.169814885548971,5.3718442207805515,5.248929089057594,4.379127071667437,5.31256111062061,3.8991800679999997,3.804229044,3.994131092,General Member,0,0
84,4,9,1,1,1,0,5.117503772450712,5.225389513820984,5.206858338413197,4.585352561094107,5.598186644884615,3.8991800679999997,3.804229044,3.994131092,General Member,0,0
84,4,10,1,1,1,0,4.862301145410047,4.904958784126588,5.039075534916877,4.32185465374448,5.464910346445472,3.8991800679999997,3.804229044,3.994131092,General Member,0,0
84,4,11,1,1,1,0,5.243861111499193,5.2854158093126316,5.334377268782318,4.907992651064912,5.586750267906703,3.8991800679999997,3.804229044,3.994131092,General Member,0,0
84,4,12,1,1,1,0,5.1150133994897855,5.412957663318494,5.174018871220543,4.083501173965223,4.979100790172659,3.8991800679999997,3.804229044,3.994131092,General Member,0,0
84,4,13,1,1,1,1,5.511757268077641,5.5657432597509615,5.611768096414646,5.116440693604674,5.603881032139486,3.8991800679999997,3.804229044,3.994131092,Department Leader,0,1
85,1,0,0,0,0,0,5.329568587377149,5.418395201757157,5.357512021503718,4.997887397941794,5.569979294495914,3.81285863,3.858285373,3.767431887,General Member,0,0
85,1,1,0,0,0,0,5.179594061419394,5.161476104692003,5.333404443079458,4.875057041061412,5.229902383575032,3.81285863,3.858285373,3.767431887,General Member,0,0
85,1,2,0,0,0,0,5.1873222852088094,5.224304677077754,5.2884216250477785,4.840476649977713,5.660324441860308,3.81285863,3.858285373,3.767431887,General Member,0,0
85,1,3,0,0,0,0,5.393751773711054,5.614676421494673,5.539360114844198,4.391225034382868,5.725252279088106,3.81285863,3.858285373,3.767431887,General Member,0,0
85,1,4,0,0,0,0,5.178920915366679,5.2459799863170105,5.2279893355211176,4.863250722155332,5.561484067446489,3.81285863,3.858285373,3.767431887,General Member,0,0
85,1,5,0,0,0,0,4.972138575340914,5.077433700383375,5.06590203889243,4.437471785259994,5.452432190534145,3.81285863,3.858285373,3.767431887,General Member,0,0
85,1,6,0,0,0,0,5.352693811595452,5.5763625398657295,5.320757697180994,4.756205227085019,5.56381092229004,3.81285863,3.858285373,3.767431887,Department Leader,0,0
85,1,7,1,0,0,0,5.28559472268684,5.375881918146124,5.30105112546757,4.978668196487276,5.547133352728194,3.81285863,3.858285373,3.767431887,General Member,0,0
85,1,8,1,0,0,0,5.255777303095002,5.355072222483139,5.287982666973839,4.882746695879968,5.779651611619419,3.81285863,3.858285373,3.767431887,General Member,0,0
85,1,9,1,0,0,0,5.342173386530332,5.576252650405992,5.4483108992833404,4.392281398479668,5.423068284588001,3.81285863,3.858285373,3.767431887,General Member,0,0
85,1,10,1,0,0,0,5.009489639464026,5.092171976787043,5.098324439452827,4.5541614275211,5.463074169080292,3.81285863,3.858285373,3.767431887,General Member,0,0
85,1,11,1,0,0,0,5.401780594668927,5.543965308704633,5.476086771040152,4.801845374362282,5.796874563506497,3.81285863,3.858285373,3.767431887,General Member,0,0
85,1,12,1,0,0,0,5.3181581769497175,5.55258787266002,5.5860683076470306,3.9897454515250845,5.660093762049974,3.81285863,3.858285373,3.767431887,General Member,0,0
85,1,13,1,0,0,0,5.34228242028621,5.553599485179973,5.235512374641745,4.957461332108673,5.621792798988051,3.81285863,3.858285373,3.767431887,Department Leader,0,0
86,2,0,0,1,0,0,5.166874599685317,5.123787356123598,5.496227121745271,4.527647112230579,5.2465358783071245,3.7986713749999996,3.847070776,3.750271974,General Member,0,0
86,2,1,0,1,0,0,5.224930958987944,5.2586337695610155,5.39595353485745,4.724769850239877,5.455953899017387,3.7986713749999996,3.847070776,3.750271974,General Member,0,0
86,2,2,0,1,0,0,5.177452235573893,5.219738023092923,5.5329169122718795,4.221177294054831,5.585101319819652,3.7986713749999996,3.847070776,3.750271974,General Member,0,0
86,2,3,0,1,0,0,5.121929648099407,4.936362664599276,5.466923554028311,4.87364481809902,5.598624343319613,3.7986713749999996,3.847070776,3.750271974,General Member,0,0
86,2,4,0,1,0,0,5.249110661132851,5.303477522831622,5.384302928651408,4.770561451826566,5.611320333883842,3.7986713749999996,3.847070776,3.750271974,General Member,0,0
86,2,5,0,1,0,0,5.10795230268627,5.373682439619291,4.804909165491769,5.01786254534105,5.597028283396617,3.7986713749999996,3.847070776,3.750271974,General Member,0,0
86,2,6,0,1,0,0,5.226192491840846,5.373906061747551,5.154610496824317,4.950076437159305,5.718651963531661,3.7986713749999996,3.847070776,3.750271974,Department Leader,0,0
86,2,7,1,1,0,0,5.315391399842188,5.4256471876006085,5.440940555578944,4.691676006514493,4.704116528251812,3.7986713749999996,3.847070776,3.750271974,General Member,0,0
86,2,8,1,1,0,0,5.284016995788637,5.39539372559957,5.450998958241024,4.560262227300262,5.782253779924108,3.7986713749999996,3.847070776,3.750271974,General Member,0,0
86,2,9,1,1,0,0,5.304087083265884,5.378747679918302,5.531353783472433,4.549816326160011,5.465313979216743,3.7986713749999996,3.847070776,3.750271974,General Member,0,0
86,2,10,1,1,0,0,4.71249439818159,4.687214860030176,4.939221288143373,4.259303602725007,4.966312208408661,3.7986713749999996,3.847070776,3.750271974,General Member,0,0
86,2,11,1,1,0,0,5.125345915687247,5.18584321148405,5.574473888376401,3.8958887586888116,5.689475110903967,3.7986713749999996,3.847070776,3.750271974,General Member,0,0
86,2,12,1,1,0,0,5.509673545717562,5.545955924881685,5.572814671116777,5.253497115627024,5.536313264361566,3.7986713749999996,3.847070776,3.750271974,General Member,0,0
86,2,13,1,1,0,0,5.443450814260071,5.5936947887859505,5.4857067145624505,4.894121789976885,5.325532479505254,3.7986713749999996,3.847070776,3.750271974,Department Leader,0,0
87,3,0,0,0,1,0,5.329318493711016,5.510956233123393,5.325252785764032,4.7938919273501845,5.600771121349292,3.8844645305,3.970221861,3.7987072,General Member,0,0
87,3,1,0,0,1,0,5.237170029406425,5.171942925729734,5.5174386583944,4.7788912061312265,5.657257049908704,3.8844645305,3.970221861,3.7987072,General Member,0,0
87,3,2,0,0,1,0,5.0253823998336475,5.009594758707269,5.2742103679976164,4.492146730830196,5.152870422604018,3.8844645305,3.970221861,3.7987072,General Member,0,0
